Date,USD (INR / 1 USD),GBP (INR / 1 GBP),EUR (INR / 1 EUR),JPY (INR / 100 JPY),AED (INR / 1 AED),IDR (INR / 10000 IDR)
02/01/2026,91.8983,126.3834,109.5661,59.72,25.0204,54.7299
03/01/2026,90.9542,122.5408,107.3654,58.34,24.7628,54.2378
02/02/2026,91.6443,125.2429,108.5692,59.2,24.9512,54.5291
03/02/2026,91.4514,122.4449,107.392,58.26,24.8983,54.2382
02/03/2026,90.4495,123.8875,106.8558,58.19,24.6259,53.9228
03/03/2026,91.4514,122.4449,107.392,58.26,24.8983,54.2382
02/04/2026,90.4693,124.1106,107.0559,57.89,24.6313,53.9408
03/04/2026,92.2828,122.8622,107.0124,58.55,25.1243,54.5143
02/05/2026,90.3957,123.0328,106.5488,57.6,24.611,53.7129
03/05/2026,91.6275,122.046,106.2635,58.31,24.9462,54.2125
02/06/2026,90.4163,122.7431,106.6864,57.64,24.6171,53.5486
03/06/2026,91.6829,122.4932,106.4139,58.08,24.9615,54.1366
02/07/2026,90.4163,122.7431,106.6864,57.64,24.6171,53.5486
03/07/2026,91.6829,122.4932,106.4139,58.08,24.9615,54.1366
02/08/2026,90.4163,122.7431,106.6864,57.64,24.6171,53.5486
03/08/2026,91.6829,122.4932,106.4139,58.08,24.9615,54.1366
01/09/2026,90.1395,121.0201,105.0065,57.26,,
02/09/2026,90.4006,123.0834,107.0458,57.77,24.6121,53.6956
03/09/2026,92.2639,122.9121,106.5882,58.18,25.1194,54.4038
01/10/2026,90.1395,121.0201,105.0065,57.26,,
02/10/2026,90.5773,123.8614,107.8697,58.31,24.6606,53.9036
03/10/2026,92.0174,123.699,106.996,58.4,25.052,54.5251
01/11/2026,90.1395,121.0201,105.0065,57.26,,
02/11/2026,90.5675,123.8384,107.9643,59.21,24.6578,54.0032
03/11/2026,91.9257,123.6425,106.9611,58.21,25.0276,54.5044
01/12/2026,90.1899,121.1695,105.227,57.08,,
02/12/2026,90.5947,123.358,107.4459,59.1,24.665,53.8236
03/12/2026,92.353,123.4655,106.6197,58.07,25.1431,54.6222
